time;lat;lon;60min_starnet;60min_earth;vulnerability;radarRR;1h_radar;hydroRR;1h_hydro;1h_basin_radar;2h_basin_radar;3h_basin_radar;24h_basin_radar;1h_basin_hydro;2h_basin_hydro;3h_basin_hydro;24h_basin_hydro;flood
2018-05-19 12:30:00;-23.82;-46.94;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.14;0.0
2018-05-19 12:30:00;-23.82;-46.93;0.0;2.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.47;0.0
2018-05-19 12:30:00;-23.82;-46.76;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.24;0.0
2018-05-19 12:30:00;-23.82;-46.47;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.82;-46.45;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.81;-46.98;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.11;0.0
2018-05-19 12:30:00;-23.81;-46.95;0.0;2.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.11;0.0
2018-05-19 12:30:00;-23.81;-46.93;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.47;0.0
2018-05-19 12:30:00;-23.81;-46.77;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.24;0.0
2018-05-19 12:30:00;-23.8;-47.0;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;5.75;0.0
2018-05-19 12:30:00;-23.8;-46.98;2.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.11;0.0
2018-05-19 12:30:00;-23.8;-46.95;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.47;0.0
2018-05-19 12:30:00;-23.8;-46.94;1.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.47;0.0
2018-05-19 12:30:00;-23.8;-46.86;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;7.7;0.0
2018-05-19 12:30:00;-23.8;-46.81;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.14;0.0
2018-05-19 12:30:00;-23.8;-46.8;0.0;0.0;3.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.14;0.0
2018-05-19 12:30:00;-23.79;-46.94;1.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.47;0.0
2018-05-19 12:30:00;-23.79;-46.8;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.71;0.0
2018-05-19 12:30:00;-23.79;-46.79;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.71;0.0
2018-05-19 12:30:00;-23.79;-46.65;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.21;0.0
2018-05-19 12:30:00;-23.78;-46.96;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;5.75;0.0
2018-05-19 12:30:00;-23.78;-46.87;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;7.7;0.0
2018-05-19 12:30:00;-23.78;-46.84;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.6;0.0
2018-05-19 12:30:00;-23.78;-46.83;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.6;0.0
2018-05-19 12:30:00;-23.78;-46.82;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.6;0.0
2018-05-19 12:30:00;-23.78;-46.79;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.7;0.0
2018-05-19 12:30:00;-23.78;-46.78;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.7;0.0
2018-05-19 12:30:00;-23.78;-46.76;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.38;0.0
2018-05-19 12:30:00;-23.78;-46.73;0.0;0.0;2.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.9;0.0
2018-05-19 12:30:00;-23.78;-46.7;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;10.32;0.0
2018-05-19 12:30:00;-23.78;-46.68;0.0;0.0;2.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.21;0.0
2018-05-19 12:30:00;-23.78;-46.64;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;11.7;0.0
2018-05-19 12:30:00;-23.78;-46.29;0.0;0.0;-99;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.77;-46.97;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;5.75;0.0
2018-05-19 12:30:00;-23.77;-46.9;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;7.7;0.0
2018-05-19 12:30:00;-23.77;-46.78;0.0;0.0;3.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.71;0.0
2018-05-19 12:30:00;-23.77;-46.76;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;2.09;0.0
2018-05-19 12:30:00;-23.77;-46.75;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.33;0.0
2018-05-19 12:30:00;-23.77;-46.7;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;10.32;0.0
